#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
RPL12	RPS5	1854209	1842374	9606.ENSP00000354739	9606.ENSP00000196551	0.309	0	0	0	0.988	0.905	0.924	0.486	0.999
RPL11	RPS26	1856140	1853363	9606.ENSP00000363676	9606.ENSP00000348849	0	0	0	0	0.881	0.774	0.900	0.712	0.999
RPL13	RPL8	1849017	1845175	9606.ENSP00000307889	9606.ENSP00000262584	0	0	0	0	0.980	0.884	0.900	0.224	0.999
RPL21	RPL7	1853004	1852251	9606.ENSP00000346027	9606.ENSP00000339795	0	0	0	0	0.976	0.874	0.900	0.392	0.999
RPL13A	RPL13	1857955	1849017	9606.ENSP00000375730	9606.ENSP00000307889	0	0	0	0	0.987	0.884	0.900	0.309	0.999
RPL23	RPS14	1858184	1849373	9606.ENSP00000377865	9606.ENSP00000311028	0.309	0	0.274	0	0.965	0.774	0.924	0.385	0.999
RPS6	RPS15A	1857216	1850066	9606.ENSP00000369757	9606.ENSP00000318646	0	0	0	0	0.967	0.987	0.900	0.389	0.999
RPS18	RPS10	1859702	1853151	9606.ENSP00000393241	9606.ENSP00000347271	0	0	0	0	0.960	0.959	0.900	0.426	0.999
RPL14	RPS12	1852902	1843234	9606.ENSP00000345156	9606.ENSP00000230050	0	0	0	0	0.965	0.804	0.900	0.374	0.999
RPS9	RPS16	1848467	1844060	9606.ENSP00000302896	9606.ENSP00000251453	0.309	0	0	0	0.952	0.998	0.924	0.365	0.999
RPS24	RPL19	1861076	1843024	9606.ENSP00000414321	9606.ENSP00000225430	0	0	0	0	0.964	0.920	0.900	0.439	0.999
RPS6	RPS23	1857216	1847772	9606.ENSP00000369757	9606.ENSP00000296674	0	0	0	0	0.968	0.988	0.900	0.235	0.999
RPSA	RPL35	1853012	1844699	9606.ENSP00000346067	9606.ENSP00000259469	0	0	0	0	0.961	0.774	0.924	0.348	0.999
RPS15A	RPS16	1850066	1844060	9606.ENSP00000318646	9606.ENSP00000251453	0.309	0	0	0	0.967	0.988	0.924	0.320	0.999
RPS20	RPL37A	1861789	1861343	9606.ENSP00000429374	9606.ENSP00000418082	0	0	0	0	0.969	0.774	0.900	0.405	0.999
RPS6	RPS11	1857216	1846167	9606.ENSP00000369757	9606.ENSP00000270625	0	0	0	0	0.965	0.997	0.900	0.519	0.999
RPS29	RPS10	1858354	1853151	9606.ENSP00000379339	9606.ENSP00000347271	0	0	0	0	0.973	0.959	0.900	0.878	0.999
RPS27	RPL10	1854822	1852496	9606.ENSP00000357555	9606.ENSP00000341730	0.045	0	0.218	0	0.952	0.774	0.900	0.290	0.999
RPS8	RPL13A	1858412	1857955	9606.ENSP00000379888	9606.ENSP00000375730	0	0	0	0	0.970	0.838	0.900	0.614	0.999
RPS3A	RPL27	1853009	1844249	9606.ENSP00000346050	9606.ENSP00000253788	0	0	0	0	0.964	0.884	0.900	0.319	0.999
RPL7A	RPL14	1855599	1852902	9606.ENSP00000361076	9606.ENSP00000345156	0	0	0	0	0.970	0.884	0.900	0.350	0.999
RPL32	RPL6	1858438	1842405	9606.ENSP00000380156	9606.ENSP00000202773	0.096	0	0	0	0.967	0.905	0.900	0.206	0.999
RPS25	FAU	1861989	1861888	9606.ENSP00000435096	9606.ENSP00000431822	0	0	0	0	0.965	0.997	0	0.228	0.999
RPL12	RPS12	1854209	1843234	9606.ENSP00000354739	9606.ENSP00000230050	0.058	0	0	0	0.965	0.890	0.900	0.381	0.999
RPL13A	RPL21	1857955	1853004	9606.ENSP00000375730	9606.ENSP00000346027	0.048	0	0	0	0.969	0.935	0.900	0.347	0.999
RPL23A	RPS15A	1859401	1850066	9606.ENSP00000389103	9606.ENSP00000318646	0.309	0	0	0	0.962	0.857	0.924	0.437	0.999
RPS25	RPS24	1861989	1861076	9606.ENSP00000435096	9606.ENSP00000414321	0	0	0	0	0.970	0.996	0.900	0.651	0.999
RPS13	RPL37A	1862013	1861343	9606.ENSP00000435777	9606.ENSP00000418082	0	0	0	0	0.969	0.874	0.900	0.338	0.999
RPS20	RPL27A	1861789	1853001	9606.ENSP00000429374	9606.ENSP00000346015	0.309	0	0	0	0.963	0.931	0.924	0.317	0.999
RPL23A	RPL9	1859401	1853003	9606.ENSP00000389103	9606.ENSP00000346022	0.309	0	0	0	0.970	0.978	0.924	0.458	0.999
RPL13A	RPSA	1857955	1853012	9606.ENSP00000375730	9606.ENSP00000346067	0.309	0	0	0	0.970	0.828	0.924	0.292	0.999
RPL30	RPS11	1847048	1846167	9606.ENSP00000287038	9606.ENSP00000270625	0	0	0	0	0.970	0.857	0.900	0.811	0.999
RPL4	RPL30	1849420	1847048	9606.ENSP00000311430	9606.ENSP00000287038	0	0	0	0	0.973	0.905	0.900	0.623	0.999
RPS15	RPL36	1863987	1844136	9606.ENSP00000467676	9606.ENSP00000252543	0	0	0	0	0.966	0.905	0.900	0.438	0.999
RPL4	RPL27	1849420	1844249	9606.ENSP00000311430	9606.ENSP00000253788	0.065	0	0	0	0.972	0.884	0.900	0.399	0.999
RPS17	RPS9	1853007	1848467	9606.ENSP00000346045	9606.ENSP00000302896	0	0	0	0	0.952	0.997	0	0.257	0.999
RPL18	RPS2	1862361	1852518	9606.ENSP00000447001	9606.ENSP00000341885	0.048	0	0	0	0.970	0.774	0.900	0.458	0.999
RPL30	RPL6	1847048	1842405	9606.ENSP00000287038	9606.ENSP00000202773	0.059	0	0	0	0.971	0.905	0.900	0.553	0.999
RPL38	RPL27	1849232	1844249	9606.ENSP00000309830	9606.ENSP00000253788	0	0	0	0	0.968	0.774	0.900	0.504	0.999
RPLP0	RPL35	1852166	1844699	9606.ENSP00000339027	9606.ENSP00000259469	0.309	0	0	0	0.918	0.962	0.924	0.475	0.999
RPS19	RPS15A	1864285	1850066	9606.ENSP00000470004	9606.ENSP00000318646	0	0	0	0	0.961	0.987	0.900	0.401	0.999
RPS4X	RPL9	1855955	1853003	9606.ENSP00000362744	9606.ENSP00000346022	0.309	0	0	0	0.965	0.774	0.900	0.348	0.999
RPL18	RPL36	1862361	1844136	9606.ENSP00000447001	9606.ENSP00000252543	0	0	0	0	0.972	0.884	0.900	0.486	0.999
RPL13A	RPS3A	1857955	1853009	9606.ENSP00000375730	9606.ENSP00000346050	0	0	0	0	0.969	0.884	0.900	0.458	0.999
RPS8	RPLP0	1858412	1852166	9606.ENSP00000379888	9606.ENSP00000339027	0	0	0	0	0.969	0.857	0.900	0.559	0.999
UBA52	RPS4X	1859324	1855955	9606.ENSP00000388107	9606.ENSP00000362744	0	0	0	0	0.956	0.708	0.900	0.486	0.999
RPS3	RPL3	1861952	1852999	9606.ENSP00000433821	9606.ENSP00000346001	0.309	0	0	0	0.986	0.879	0.924	0.565	0.999
RPS15	RPL8	1863987	1845175	9606.ENSP00000467676	9606.ENSP00000262584	0.309	0	0	0	0.982	0.905	0.924	0.366	0.999
RPL34	RPLP1	1858216	1853006	9606.ENSP00000378160	9606.ENSP00000346037	0	0	0	0	0.967	0.774	0.900	0.190	0.999
RPS18	RPL6	1859702	1842405	9606.ENSP00000393241	9606.ENSP00000202773	0.077	0	0	0	0.955	0.774	0.900	0.347	0.999
RPL23A	RPL12	1859401	1854209	9606.ENSP00000389103	9606.ENSP00000354739	0.309	0	0	0	0.975	0.962	0.924	0.768	0.999
RPS17	RPL19	1853007	1843024	9606.ENSP00000346045	9606.ENSP00000225430	0	0	0	0	0.990	0.985	0	0.789	0.999
RPS19	RPS4X	1864285	1855955	9606.ENSP00000470004	9606.ENSP00000362744	0	0	0	0	0.958	0.992	0.900	0.352	0.999
RPS4X	RPS7	1855955	1852173	9606.ENSP00000362744	9606.ENSP00000339095	0	0	0	0	0.961	0.997	0.900	0.535	0.999
RPL10A	RPS9	1856010	1848467	9606.ENSP00000363018	9606.ENSP00000302896	0.065	0	0	0	0.952	0.924	0.924	0.334	0.999
B2M	HLA-A	1862817	1856558	9606.ENSP00000452780	9606.ENSP00000366005	0	0	0	0	0.074	0.975	0.900	0.749	0.999
RPS8	RPL10	1858412	1852496	9606.ENSP00000379888	9606.ENSP00000341730	0	0	0	0	0.956	0.851	0.900	0.211	0.999
RPLP2	RPL8	1850446	1845175	9606.ENSP00000322419	9606.ENSP00000262584	0	0	0	0	0.960	0.884	0.900	0.202	0.999
RPL23	RPS16	1858184	1844060	9606.ENSP00000377865	9606.ENSP00000251453	0.309	0	0	0	0.969	0.774	0.924	0.453	0.999
RPS13	RPS24	1862013	1861076	9606.ENSP00000435777	9606.ENSP00000414321	0.085	0	0	0	0.969	0.997	0.900	0.459	0.999
RPL27A	RPS15A	1853001	1850066	9606.ENSP00000346015	9606.ENSP00000318646	0.309	0	0	0	0.958	0.884	0.924	0.396	0.999
RPL11	RPL13	1856140	1849017	9606.ENSP00000363676	9606.ENSP00000307889	0	0	0	0	0.969	0.884	0.900	0.511	0.999
RPS24	RPS8	1861076	1858412	9606.ENSP00000414321	9606.ENSP00000379888	0	0	0	0	0.963	0.989	0.900	0.522	0.999
RPS15	RPL37A	1863987	1861343	9606.ENSP00000467676	9606.ENSP00000418082	0	0	0	0	0.957	0.774	0.900	0.338	0.999
RPL24	RPL26	1858158	1847444	9606.ENSP00000377640	9606.ENSP00000293842	0	0	0	0	0.985	0.907	0.900	0.449	0.999
RPL17	RPL35	1863674	1844699	9606.ENSP00000462023	9606.ENSP00000259469	0.309	0	0	0	0.978	0.954	0.924	0.346	0.999
RPS24	RPS11	1861076	1846167	9606.ENSP00000414321	9606.ENSP00000270625	0	0	0	0	0.965	0.997	0.900	0.366	0.999
RPS15	RPS21	1863987	1852991	9606.ENSP00000467676	9606.ENSP00000345957	0	0	0	0	0.966	0.990	0.900	0.387	0.999
RPS28	RPS17	1864786	1853007	9606.ENSP00000472469	9606.ENSP00000346045	0	0	0	0	0.988	0.997	0	0.432	0.999
RPL12	RPS2	1854209	1852518	9606.ENSP00000354739	9606.ENSP00000341885	0.309	0	0	0	0.984	0.905	0.924	0.458	0.999
RPS6	RPL36AL	1857216	1853000	9606.ENSP00000369757	9606.ENSP00000346012	0	0	0	0	0.971	0.390	0.900	0.597	0.999
RPL13A	RPS27	1857955	1854822	9606.ENSP00000375730	9606.ENSP00000357555	0	0	0	0	0.968	0.774	0.900	0.367	0.999
RPL10A	RPL29	1856010	1847471	9606.ENSP00000363018	9606.ENSP00000294189	0	0	0	0	0.966	0.774	0.900	0.325	0.999
