#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PGK1	ENO1	1855883	1843405	9606.ENSP00000362413	9606.ENSP00000234590	0.309	0	0	0	0.960	0.890	0.404	0.756	0.999
EIF3L	EIF3E	1861248	1842805	9606.ENSP00000416892	9606.ENSP00000220849	0	0	0	0	0.835	0.997	0.900	0.699	0.999
EIF3H	EIF3K	1861812	1843908	9606.ENSP00000429931	9606.ENSP00000248342	0	0	0	0	0.325	0.991	0.900	0.403	0.999
COX5B	COX4I1	1844605	1844229	9606.ENSP00000258424	9606.ENSP00000253452	0	0	0	0	0.866	0.850	0.900	0.796	0.999
ATP5G2	ATP5B	1858187	1845043	9606.ENSP00000377878	9606.ENSP00000262030	0.309	0	0	0	0.782	0.889	0.940	0.428	0.999
COX5B	COX6B1	1844605	1843826	9606.ENSP00000258424	9606.ENSP00000246554	0	0	0	0	0.985	0.666	0.900	0.588	0.999
EIF3K	EIF3E	1843908	1842805	9606.ENSP00000248342	9606.ENSP00000220849	0	0	0	0	0.269	0.991	0.900	0.571	0.999
EIF3L	EIF3K	1861248	1843908	9606.ENSP00000416892	9606.ENSP00000248342	0	0	0	0	0.451	0.993	0.900	0.692	0.999
SEC61G	SEC61B	1852468	1842987	9606.ENSP00000341538	9606.ENSP00000223641	0	0	0	0	0.899	0.889	0.900	0.862	0.999
EIF3H	EIF3E	1861812	1842805	9606.ENSP00000429931	9606.ENSP00000220849	0	0	0	0	0.967	0.997	0.900	0.649	0.999
EIF3L	EIF3F	1861248	1849251	9606.ENSP00000416892	9606.ENSP00000310040	0	0	0	0	0.560	0.965	0.900	0.435	0.999
EIF3F	EIF3E	1849251	1842805	9606.ENSP00000310040	9606.ENSP00000220849	0	0	0	0	0.676	0.989	0.900	0.650	0.999
PSMB9	PSMA7	1856192	1855365	9606.ENSP00000363993	9606.ENSP00000359910	0	0	0.215	0	0.794	0.964	0.900	0.408	0.999
TPI1	GAPDH	1843191	1843185	9606.ENSP00000229270	9606.ENSP00000229239	0.309	0.094	0	0	0.870	0.774	0.947	0.808	0.999
ENO1	TPI1	1843405	1843191	9606.ENSP00000234590	9606.ENSP00000229270	0.309	0	0.211	0	0.960	0.774	0.412	0.761	0.999
ENO1	GAPDH	1843405	1843185	9606.ENSP00000234590	9606.ENSP00000229239	0.309	0	0	0	0.984	0.806	0.170	0.710	0.999
B2M	HLA-B	1862817	1860141	9606.ENSP00000452780	9606.ENSP00000399168	0	0	0	0	0.074	0.985	0.900	0.663	0.999
PGK1	TPI1	1855883	1843191	9606.ENSP00000362413	9606.ENSP00000229270	0.309	0.557	0.253	0	0.960	0.774	0.404	0.743	0.999
PGK1	GAPDH	1855883	1843185	9606.ENSP00000362413	9606.ENSP00000229239	0.309	0	0	0	0.821	0.921	0.941	0.741	0.999
PKM	ENO1	1850212	1843405	9606.ENSP00000320171	9606.ENSP00000234590	0.309	0	0	0	0.971	0	0.941	0.710	0.999
EIF3H	EIF3L	1861812	1861248	9606.ENSP00000429931	9606.ENSP00000416892	0	0	0	0	0.796	0.994	0.900	0.453	0.999
TKT	TALDO1	1860530	1850327	9606.ENSP00000405455	9606.ENSP00000321259	0.309	0	0	0	0.698	0.543	0.941	0.910	0.999
EIF3H	EIF3F	1861812	1849251	9606.ENSP00000429931	9606.ENSP00000310040	0	0	0	0.630	0.733	0.988	0.900	0.661	0.999
EIF3F	EIF3K	1849251	1843908	9606.ENSP00000310040	9606.ENSP00000248342	0	0	0	0	0.491	0.955	0.900	0.518	0.998
RAC2	ARHGDIB	1843949	1843176	9606.ENSP00000249071	9606.ENSP00000228945	0	0	0	0	0.515	0.934	0.900	0.612	0.998
PGK1	PGAM1	1855883	1855378	9606.ENSP00000362413	9606.ENSP00000359991	0	0	0	0	0.897	0.174	0.941	0.657	0.998
B2M	HLA-C	1862817	1856460	9606.ENSP00000452780	9606.ENSP00000365402	0	0	0	0	0.074	0.950	0.900	0.578	0.997
NCF2	CYBA	1854612	1844952	9606.ENSP00000356505	9606.ENSP00000261623	0	0	0	0	0.100	0.360	0.900	0.966	0.997
ALDOA	GAPDH	1851945	1843185	9606.ENSP00000336927	9606.ENSP00000229239	0.309	0	0	0	0.734	0.474	0.947	0.659	0.997
CYBB	NCF2	1856898	1854612	9606.ENSP00000367851	9606.ENSP00000356505	0	0	0	0	0.213	0.360	0.900	0.962	0.997
CYBB	CYBA	1856898	1844952	9606.ENSP00000367851	9606.ENSP00000261623	0	0	0	0	0.087	0.418	0.900	0.959	0.997
ATP5B	ATP5E	1845043	1843692	9606.ENSP00000262030	9606.ENSP00000243997	0	0	0	0	0.062	0.921	0.900	0.756	0.997
PGAM1	ENO1	1855378	1843405	9606.ENSP00000359991	9606.ENSP00000234590	0.082	0	0	0	0.797	0.437	0.941	0.665	0.997
ATP5I	ATP5L	1848800	1848205	9606.ENSP00000306003	9606.ENSP00000300688	0	0	0	0	0.478	0.912	0.900	0.365	0.996
PGAM1	TPI1	1855378	1843191	9606.ENSP00000359991	9606.ENSP00000229270	0.094	0	0	0	0.959	0.417	0.433	0.745	0.996
UQCRH	UQCRB	1849197	1847046	9606.ENSP00000309565	9606.ENSP00000287022	0	0	0	0	0.533	0.862	0.900	0.480	0.996
ATP5I	ATP5E	1848800	1843692	9606.ENSP00000306003	9606.ENSP00000243997	0	0	0	0	0.763	0.817	0.900	0.247	0.996
UBA52	UBC	1859324	1852861	9606.ENSP00000388107	9606.ENSP00000344818	0	0	0	0.962	0.301	0.950	0.900	0.581	0.996
B2M	HLA-E	1862817	1856531	9606.ENSP00000452780	9606.ENSP00000365817	0	0	0	0	0.119	0.866	0.900	0.654	0.995
SSR4	SEC61B	1849949	1842987	9606.ENSP00000317331	9606.ENSP00000223641	0	0	0	0	0.954	0	0.900	0.122	0.995
PSME1	PSME2	1857560	1842623	9606.ENSP00000372155	9606.ENSP00000216802	0	0	0	0.904	0.817	0.774	0.900	0.929	0.995
ALDOA	TPI1	1851945	1843191	9606.ENSP00000336927	9606.ENSP00000229270	0	0	0	0	0.487	0	0.948	0.807	0.994
PGK1	PKM	1855883	1850212	9606.ENSP00000362413	9606.ENSP00000320171	0.309	0	0	0	0.960	0.417	0.108	0.671	0.994
PKM	LDHB	1850212	1843197	9606.ENSP00000320171	9606.ENSP00000229319	0.065	0	0	0	0.144	0.496	0.941	0.760	0.993
B2M	HLA-F	1862817	1844740	9606.ENSP00000452780	9606.ENSP00000259951	0	0	0	0.758	0.067	0.924	0.900	0.416	0.993
HNRNPA3	HNRNPH1	1858016	1853404	9606.ENSP00000376309	9606.ENSP00000349168	0	0	0	0	0.254	0.884	0.900	0.342	0.993
SH2D1A	FYN	1855413	1853081	9606.ENSP00000360181	9606.ENSP00000346671	0	0	0	0	0.078	0.948	0.800	0.317	0.992
NCF2	RAC2	1854612	1843949	9606.ENSP00000356505	9606.ENSP00000249071	0	0	0	0	0.159	0.360	0.900	0.882	0.992
LAT	FYN	1858298	1853081	9606.ENSP00000378845	9606.ENSP00000346671	0	0	0	0	0	0.681	0.900	0.787	0.992
RHOA	ARHGDIB	1860210	1843176	9606.ENSP00000400175	9606.ENSP00000228945	0	0	0	0	0.097	0.803	0.900	0.632	0.992
POMP	PSMA7	1857291	1855365	9606.ENSP00000370222	9606.ENSP00000359910	0	0	0	0	0.508	0.953	0	0.635	0.991
TCEB2	RBX1	1845114	1842568	9606.ENSP00000262306	9606.ENSP00000216225	0	0	0	0	0.120	0.357	0.900	0.867	0.991
ATP6V0B	ATP5B	1861883	1845043	9606.ENSP00000431605	9606.ENSP00000262030	0.309	0	0	0	0.778	0.757	0.728	0.254	0.991
PABPC1	EIF4B	1849591	1845052	9606.ENSP00000313007	9606.ENSP00000262056	0	0	0	0	0.220	0.466	0.900	0.809	0.991
PSME1	PSMB9	1857560	1856192	9606.ENSP00000372155	9606.ENSP00000363993	0	0	0	0	0.187	0.774	0.900	0.541	0.990
COX8A	COX5B	1850328	1844605	9606.ENSP00000321260	9606.ENSP00000258424	0	0	0	0	0.786	0	0.900	0.601	0.990
PSMB9	PSME2	1856192	1842623	9606.ENSP00000363993	9606.ENSP00000216802	0	0	0	0	0.297	0.774	0.900	0.450	0.990
PKM	TPI1	1850212	1843191	9606.ENSP00000320171	9606.ENSP00000229270	0.062	0	0	0	0.960	0	0.123	0.746	0.990
LAT	LCK	1858298	1852042	9606.ENSP00000378845	9606.ENSP00000337825	0	0	0	0	0.217	0.391	0.900	0.816	0.990
TLN1	ITGB2	1849837	1848511	9606.ENSP00000316029	9606.ENSP00000303242	0	0	0	0	0.077	0.778	0.900	0.592	0.990
POMP	PSMB9	1857291	1856192	9606.ENSP00000370222	9606.ENSP00000363993	0	0	0	0	0.402	0.955	0	0.624	0.989
